drag,burnout,velocity,peaktime,peakalt
0,1,1,1,1
20,1,1,0.99,0.98
40,1,1,0.94,0.92
60,1,1,0.92,0.88
80,1,1,0.9,0.85
100,1,0.99,0.88,0.82
120,1,0.99,0.86,0.8
140,1,0.99,0.84,0.76
160,1,0.99,0.82,0.74
180,0.99,0.99,0.81,0.72
200,0.99,0.98,0.8,0.7
220,0.99,0.98,0.78,0.68
240,0.99,0.98,0.77,0.66
260,0.99,0.98,0.76,0.64
280,0.99,0.98,0.75,0.63
300,0.99,0.98,0.74,0.62
320,0.99,0.98,0.73,0.6
340,0.99,0.98,0.72,0.6
360,0.99,0.97,0.71,0.58
380,0.99,0.97,0.7,0.58
400,0.98,0.97,0.7,0.56
420,0.98,0.97,0.69,0.56
440,0.98,0.96,0.68,0.54
460,0.98,0.96,0.68,0.54
480,0.98,0.96,0.67,0.53
500,0.98,0.96,0.66,0.52
520,0.98,0.96,0.65,0.51
540,0.98,0.96,0.64,0.5
560,0.98,0.96,0.64,0.5
580,0.98,0.96,0.63,0.49
600,0.98,0.95,0.63,0.48
620,0.98,0.95,0.62,0.47
640,0.98,0.95,0.61,0.46
660,0.98,0.95,0.61,0.46
680,0.98,0.95,0.6,0.45
700,0.97,0.94,0.6,0.44
720,0.97,0.94,0.59,0.43
740,0.97,0.94,0.58,0.43
760,0.97,0.94,0.58,0.42
780,0.97,0.94,0.57,0.41
800,0.97,0.94,0.57,0.41
820,0.96,0.94,0.56,0.4
840,0.96,0.94,0.56,0.4
860,0.96,0.93,0.56,0.4
880,0.96,0.93,0.56,0.4
900,0.96,0.93,0.56,0.4
920,0.96,0.93,0.56,0.4
940,0.96,0.93,0.56,0.4
960,0.96,0.93,0.56,0.4
980,0.96,0.93,0.56,0.4
1000,0.96,0.93,0.56,0.4
